"nct_id","Study.Status","Interventions","Primary.Outcome.Measures","Secondary.Outcome.Measures","Sponsor","Phases","Start.Date","Primary.Completion.Date"
"NCT03919162","TERMINATED","DRUG: PQ912|OTHER: Placebo","2A Primary safety: proportion of participants who experience any adverse event of interest (AE-I)., The primary endpoint in phase 2A is the proportion of participants, for each dose, who experience any adverse event of interest (AE-I) during the safety reporting period, from first dose to completion of 8 weeks at the full originally assigned dose., 24 weeks|2A Primary PK: derived mean values of varoglutamstat levels and corresponding calculated target occupancy (TO), The pharmacokinetics (PK) endpoints in Phase 2A are the derived mean values of varoglutamstat levels in plasma and the correspondingcalculated TO in CSF, for each dose., 24 weeks|2A Primary efficacy: The within-participant change from baseline to week 24 in the composite sum of standardized scores from the ADNI Battery Composite (ABC, 9-item) compared between active arm and placebo., The ABC is a set of ADNI neuropsychological test measures, including: Category Fluency (Animals and Vegetables), Trail Making A and B, Digit Symbol Substitution, Boston Naming Test, Rey's Auditory and Verbal Learning Test (RAVLT, Immediate and Delayed), Digit Span Forward and Backward., 24 weeks|2A Primary efficacy:The within-participant change from baseline to week 24 in quantitative EEG (global relative theta wave power), The within-participant change frombaseline to week 24 of the global relative theta wave power (4-8 Hz) compared between active arm and placebo., 24 weeks|2B Primary efficacy: The within-participant change from baseline to week 72 in the Clinical Dementia Rating Scale Sum of Boxes (CDR-SB) score, compared between active arm and placebo., The CDR-SB evaluates cognition and everyday functioning incorporating both informant input and direct assessment of performance. It is scored on a five-point scale a five point scale with following five possible scores: 0 = Normal 0.5 = Very Mild Dementia
1. = Mild Dementia
2. = Moderate Dementia
3. = Severe Dementia, 72 weeks","Key secondary efficacy: CFC2, a cognitive-functional composite, The key secondary objective in phase 2B is to evaluate the efficacy of PQ912 as measured by CFC2, a cognitive-functional composite, over a 72-week treatment period., 72 weeks","Vivoryon Therapeutics N.V.","PHASE2","2021-11-15","2024-07-12"
"NCT06182085","RECRUITING","DRUG: PRI-002|DRUG: Placebo","To evaluate the safety and tolerability of multiple doses of PRI-002 in subjects with mild cognitive impairment (MCI) or mild dementia due to Alzheimer's disease (AD), based on incidence of drug-related adverse events (AEs)., Number of subjects in all treatment arms with at least 1 drug-related adverse event (AE) or drug-related serious adverse event (SAE) between baseline and Week 48., Baseline to week 48.|To evaluate the efficacy of multiple doses of PRI-002 in subjects with MCI or mild dementia due to AD, based on the Clinical Dementia Rating-Sum of Boxes (CDR-SB)., Change of individual cognitive capablities of subjects in all treatment arms from baseline to week 48 as measured by Clinical Dementia Rating-Sum of Boxes (CDR-SB, minimum value = 0, maximum value = 18, higher values correlate with a worse outcome))., Baseline to week 48.","To evaluate safety and tolerability of multiple doses of PRI-002 in subjects with MCI or mild dementia due to AD, based on AEs recorded in all 3 treatment arms., Percentage of subjects with AEs and SAEs from baseline until end of treatment., Baseline to week 48.|To evaluate safety and tolerability of multiple doses of PRI-002 in subjects with MCI or mild dementia due to AD, based on amyloid related imaging abnormalities oedema (ARIA-E) and haemosiderin (ARIA-H)., Percentage of subjects with ARIA-E and ARIA-H from baseline until end of treatment., Baseline to week 48.|To evaluate safety and tolerability of multiple doses of PRI-002 in subjects with MCI or mild dementia due to AD, based on treatment discontinuations due to AEs., Percentage of subjects who stopped treatment due to AEs or SAEs from baseline until end of treatment., Baseline to week 48.|To evaluate clinical outcome measures in subjects with MCI or mild dementia due to AD based on psychometric testing., Change in cognitive performance measured by Alzheimer's disease cooperative study - activities of daily living (ADCS-ADL, minimum value = 0, maximum value = 78, higher values correlate with a better outcome), Alzheimer's disease assessment scale-cognitive subscale (ADAS-Cog 13, minimum value = 0, maximum value = 85, higher values correlate with a worse outcome), and mini mental state examination (MMSE, minimum value = 0, maximum value = 30, higher values correlate with a better outcome)., Baseline to week 48.|To evaluate cerebrospinal fluid (CSF) biomarkers changes after mutiple doses of PRI-002 in subjects with MCI or mild dementia due to AD., Change of cerebrospinal fluid (CSF) biomarker concentrations: ratio Aβ 1-42 \[pg/ml\] /1-40 \[pg/ml\], p-tau \[pg/ml\], t-tau \[pg/ml\], Aβ oligomers \[fM\], tau oligomers \[fM\]., Baseline to week 48.|To evaluate plasma biomarker changes after multiple doses of PRI-002 in subjects with MCI or mild dementia due to AD., Change of plasma biomarker concentrations: ratio Aβ 1-42 \[pg/ml\] /1-40 \[pg/ml\], p-tau \[pg/ml\] , t-tau \[pg/ml\], neurofilament light chain (NfL) \[pg/ml\], glial fibrillary acidic protein (GFAP) \[pg/ml\], Aβ oligomers \[fM\], and tau oligomers \[fM\]., Baseline to week 48.|To follow drug levels of PRI-002 during multiple doses of PRI-002 in subjects with MCI or mild dementia due to AD., Anaysis of PRI-002 plasma concentrations \[ng/ml\] over time., Baseline to week 48.","PRInnovation GmbH","PHASE2","2023-12-01","2026-04-30"
"NCT04451408","ACTIVE_NOT_RECRUITING","DRUG: LY3372993|DRUG: Placebo","Number of Participants with One or More Serious Adverse Event(s) (SAEs) Considered by the Investigator to be Related to Study Drug Administration, A summary of SAEs and other non-serious adverse events (AEs), regardless of causality, will be reported in the Reported Adverse Events module, Baseline through Week 61 (part A) and Week 13 (Part B)","Pharmacokinetics (PK): Maximum Concentration (Cmax) of LY3372993, PK: Cmax of LY3372993, Day 1 Predose through Week 61 (part A) and Week 13 (Part B)|PK: Area Under the Concentration Versus Time Curve (AUC) of LY3372993, PK: AUC of LY3372993, Day 1 Predose through Week 61 (part A) and Week 13 (Part B)|Pharmacodynamics (PD): Change from Baseline in Cerebral Amyloid Plaque Level (Part A only), PD: Cerebral amyloid plaque level measured using florbetapir positron emission tomography, Baseline and Week 61 (part A)","Eli Lilly and Company","PHASE1","2020-07-07","2024-08-30"
"NCT04592874","ACTIVE_NOT_RECRUITING","DRUG: AL002|DRUG: Placebo","Disease progression as measured by the CDR-SB, Through study completion, up to 48 through 96 weeks","Change in MMSE score, Through study completion, up to 48 through 96 weeks|Change in RBANS score, Through study completion, up to 48 through 96 weeks|Change in ADAS-Cog13 score, Through study completion, up to 48 through 96 weeks|Change in ADCS-ADL-MCI score, Through study completion, up to 48 through 96 weeks|Change in ADCOMS score, Through study completion, up to 48 through 96 weeks|Evaluation of safety and tolerability of AL002: Incidence of adverse events, Incidence of adverse events, Through study completion, up to 48 through 96 weeks","Alector Inc.","PHASE2","2021-01-22","2024-09-17"
"NCT06126224","RECRUITING","DRUG: KarXT|DRUG: Placebo","Change from Baseline to End of Treatment in the Neuropsychiatric Inventory-Clinician: Hallucinations and Delusions (NPI-C: H+D) score, Neuropsychiatric Inventory-Clinician: Hallucinations and Delusions scale includes 2 domains from the NPI-C scale, namely, hallucinations and delusions. These 2 domains include the following number of items to be rated by the clinician: Hallucinations, 7 items (maximum score = 21) and Delusions, 8 items (maximum score = 24). The maximum score for the NPI-C: H+D scale is 45. Higher scores on this scale indicate worse outcomes., Baseline and End of Treatment (up to 14 weeks)","Change from Baseline to End of Treatment in the Cohen-Mansfield Agitation Inventory (CMAI) score, Cohen-Mansfield Agitation Inventory (CMAI) is a caregiver's rating 29-item questionnaire used to assess the frequency of manifestations of agitated behaviors in older adults. Each item is rated on a 7-point scale ranging from ""1 = never"" to ""7 = several times per hour."" Higher scores on this scale indicate worse outcomes., Baseline and End of Treatment (up to 14 weeks)|Change from Baseline to End of Treatment in the Clinical Global Impressions-Severity (CGI-S) scale, Clinical Global Impressions-Severity (CGI-S) requires the assessor to consider aspects of the psychosis (hallucinations and delusions) prior to providing a global assessment of severity. Higher scores on this scale indicate worse outcomes., Baseline and End of Treatment (up to 14 weeks)","Karuna Therapeutics","PHASE3","2023-12-23","2025-07-31"
"NCT05026866","RECRUITING","DRUG: Donanemab|DRUG: Placebo","Time to clinical progression as measured by Clinical Dementia Rating - Global Score (CDR-GS), Time to clinical progression as measured by CDR-GS. CDR is a clinician-rated scale that provides an overall assessment of the participant's stage on the spectrum of AD dementia., Estimated Up to Week 182","Change from Baseline in International Shopping List Test (ISLT), Change from Baseline in clinical progression as measured by ISLT in participants with preclinical AD., Baseline, Up to Week 182|Change from Baseline in Continuous Paired Associate Learning (CPAL), Change from Baseline in clinical progression as measured by CPAL in participants with preclinical AD., Baseline, Up to Week 182|Change from Baseline in International Daily Symbol Substitution Test-Medicines (iDSSTm), Change from Baseline in clinical progression as measured by iDSSTm in participants with preclinical AD., Baseline, Up to Week 182|Change from Baseline in Category Fluency, Change from Baseline in clinical progression as measured by Category Fluency in participants with preclinical AD., Baseline, Up to Week 182|Change from Baseline in Face Name Association Test (FNAME), Change from Baseline in clinical progression as measured by FNAME in participants with preclinical AD., Baseline, Up to Week 182|Change from Baseline in Behavioral Pattern Separation-Object test (BPS-O), Change from Baseline in clinical progression as measured by BPS-O in participants with preclinical AD., Baseline, Up to Week 182|Change from Baseline in Cogstate Brief Battery (CBB), Change from Baseline in clinical progression as measured by CBB in participants with preclinical AD., Baseline, Up to Week 182|Change from Baseline in CDR-Sum of Boxes (CDR-SB), Change from Baseline in clinical progression as measured by CDR-SB in participants with preclinical AD., Baseline, Up Week 32|Change from Baseline in Cognitive Function Index (CFI), Change from Baseline in clinical progression as measured by CFI in participants with preclinical AD., Baseline, Up to Week 182|Change from Baseline in Montreal Cognitive Assessment (MoCA) score, Change from Baseline in clinical progression as measured by MoCA score in participants with preclinical AD., Baseline, Up to Week 182|Pharmacokinetics (PK): Average Serum Donanemab Concentration at Steady State, PK: Average Serum Donanemab Concentration at Steady State, Baseline through Week 76|Percentage of Participants with Treatment-emergent Anti-Drug Antibody (ADAs), Percentage of Participants with Treatment-emergent Anti-Drug Antibody (ADAs), Baseline through Week 16","Eli Lilly and Company","PHASE3","2021-08-27","2027-11-08"
"NCT05827653","RECRUITING","DRUG: NX210c|DRUG: Placebo","Severity and incidence of treatment-emergent adverse events (TEAEs), serious adverse events (SAEs), suspected unexpected serious adverse reactions (SUSARs), Severity and incidence of treatment-emergent adverse events (TEAEs), serious adverse events (SAEs), suspected unexpected serious adverse reactions (SUSARs), Up to 16 days after last dose",NA,"Axoltis Pharma","PHASE1","2022-12-05","2024-12-30"
"NCT06247345","RECRUITING","DRUG: ADEL-Y01 - healty participants|DRUG: Placebo - Healthy Participants|DRUG: ADEL-Y01 - MCI/AD|DRUG: Placebo - MCI/AD","Part 1: Evaluation of the safety and tolerability of ADEL-Y01 via single IV injection, The standard safety and tolerability parameters to be assessed in the study include, but are not limited to, the following:
Adverse Events (AEs) Vital signs, including blood pressure, pulse rate, pulse oximetry, respiratory rate, and body temperature Digital 12-lead ECGs Clinical laboratory assessments, encompassing hematology, biochemistry, coagulation, and urinalysis Physical examinations, which will include neurological assessments., D-28 ~ Week 12|Part 2: Assessment of safety and tolerability with multiple IV Administrations of ADEL-Y01 in participants with MCI due to AD or Mild AD, The study will assess standard safety and tolerability parameters, including but not limited to the following:
Adverse Events (AEs) Vital signs such as blood pressure, pulse rate, pulse oximetry, respiratory rate, and body temperature Digital 12-lead ECGs Clinical laboratory assessments, including Hematology, Biochemistry, Coagulation, and Urinalysis Physical examinations, which will encompass neurological assessments C-SSRS (Columbia-Suicide Severity Rating Scale) assessments., D-28 ~ Week 22","Part 1: Characterization of the pharmacokinetics of ADEL-Y01 following a single IV injection, The parameters and assessments in the study include serum Cmax, CEOI, tmax, AUC(0-last), AUC(0-inf), t1/2, λz, CL, Vss, Vz, as well as the incidence of anti-ADEL-Y01 antibodies in serum, ADEL-Y01 concentration at two specified time points (Day 2 and Day 15) in at least one cohort (20 mg/kg), and CSF to serum concentration ratios., D-28 ~ Week 12|Part 1: Assessment of the immunogenicity of ADEL-Y01 following a single IV injection, The parameters and assessments in the study include serum Cmax, CEOI, tmax, AUC(0-last), AUC(0-inf), t1/2, λz, CL, Vss, Vz, as well as the incidence of anti-ADEL-Y01 antibodies in serum, ADEL-Y01 concentration at two specified time points (Day 2 and Day 15) in at least one cohort (20 mg/kg), and CSF to serum concentration ratios., D-28 ~ Week 12|Part 1: Assessment of the exposure to ADEL-Y01 in CSF following a single IV injection, The parameters and assessments in the study include serum Cmax, CEOI, tmax, AUC(0-last), AUC(0-inf), t1/2, λz, CL, Vss, Vz, as well as the incidence of anti-ADEL-Y01 antibodies in serum, ADEL-Y01 concentration at two specified time points (Day 2 and Day 15) in at least one cohort (20 mg/kg), and CSF to serum concentration ratios., D-28 ~ Week 12|Part 2: Characterization of the pharmacokinetics of ADEL-Y01 in participants with MCI due to AD and mild AD following multiple IV injections, Assessing serum Cmax, tmax, AUC(0-last), AUC(0-tau), t1/2, CL, Vss, Vz, accumulation, and serum trough concentrations.
Monitoring the incidence of anti-ADEL-Y01 antibodies in serum.
Measuring CSF ADEL-Y01 concentration at two specified time points (1 day and 14 days after the final dose) from all cohorts, including CSF to serum concentration ratios.
Evaluating changes in global function from baseline using the CDR-SB (Clinical Dementia Rating Scale Sum of Boxes) in participants with Alzheimer's disease.
Assessing changes in cognitive function from baseline using the MMSE (Mini-Mental State Examination) in participants with Alzheimer's disease., D-28 ~ Week 22|Part 2: Assessment of the immunogenicity of ADEL-Y01 in participants with MCI due to AD and mild AD following multiple IV injections, Assessing serum Cmax, tmax, AUC(0-last), AUC(0-tau), t1/2, CL, Vss, Vz, accumulation, and serum trough concentrations.
Monitoring the incidence of anti-ADEL-Y01 antibodies in serum.
Measuring CSF ADEL-Y01 concentration at two specified time points (1 day and 14 days after the final dose) from all cohorts, including CSF to serum concentration ratios.
Evaluating changes in global function from baseline using the CDR-SB (Clinical Dementia Rating Scale Sum of Boxes) in participants with Alzheimer's disease.
Assessing changes in cognitive function from baseline using the MMSE (Mini-Mental State Examination) in participants with Alzheimer's disease., D-28 ~ Week 22|Part 2: Assessment of the exposure to ADEL-Y01 in CSF in participants with MCI due to AD and mild AD following multiple IV injections., Assessing serum Cmax, tmax, AUC(0-last), AUC(0-tau), t1/2, CL, Vss, Vz, accumulation, and serum trough concentrations.
Monitoring the incidence of anti-ADEL-Y01 antibodies in serum.
Measuring CSF ADEL-Y01 concentration at two specified time points (1 day and 14 days after the final dose) from all cohorts, including CSF to serum concentration ratios.
Evaluating changes in global function from baseline using the CDR-SB (Clinical Dementia Rating Scale Sum of Boxes) in participants with Alzheimer's disease.
Assessing changes in cognitive function from baseline using the MMSE (Mini-Mental State Examination) in participants with Alzheimer's disease., D-28 ~ Week 22|Part 2: Assessment of the preliminary clinical activity of ADEL-Y01 in participants with MCI due to AD and mild AD following multiple IV injections., Assessing serum Cmax, tmax, AUC(0-last), AUC(0-tau), t1/2, CL, Vss, Vz, accumulation, and serum trough concentrations.
Monitoring the incidence of anti-ADEL-Y01 antibodies in serum.
Measuring CSF ADEL-Y01 concentration at two specified time points (1 day and 14 days after the final dose) from all cohorts, including CSF to serum concentration ratios.
Evaluating changes in global function from baseline using the CDR-SB (Clinical Dementia Rating Scale Sum of Boxes) in participants with Alzheimer's disease.
Assessing changes in cognitive function from baseline using the MMSE (Mini-Mental State Examination) in participants with Alzheimer's disease., D-28 ~ Week 22","Alzheimer's Disease Expert Lab (ADEL), Inc.","PHASE1","2024-02-05","2025-10-30"
"NCT05607615","RECRUITING","DRUG: Hydroxypropyl Beta Cyclodextrin|DRUG: Placebo","Safety assessments to include incidence of Adverse Events and Serious Adverse Events, Incidence of AEs, SAEs, incidence of abnormal laboratory test results, abnormal ECGs, abnormal physical exams, abnormal vital signs and abnormal hearing assessments assessments, up to 24 weeks","Mean change in total ADAS-Cog-14 score from Baseline, Memory, Language, and Executive Function, Week 12 and 24|Change in CDR-SB from Baseline, Memory, Orientation, Judgment and Problem Solving, Community Affairs, Home and Hobbies, and Personal Care, Weeks 12 and 24|Change in MMSE-2:SV total score from Baseline, Orientation, Attention, Memory, Language, and Visual-Spatial Skills, Weeks 12 and 24|Change in ADCS-CGIC from Baseline, Cognitive, Behavior, and Social and Daily Functioning, Weeks 12 and 24|Change in ADCS-ADL from Baseline, Basic Activities of Daily Living Items and Instrumental Activities of Daily Living Items, Weeks 12 and 24","Cyclo Therapeutics, Inc.","PHASE2","2022-09-23","2024-03-31"
"NCT06373094","NOT_YET_RECRUITING","DRUG: Donepezil Dihydroxynaphthalate for Injection","Adverse events, AEs and their incidence, Up to 42 days|Number of Participants With Abnormal Laboratory Values, Number of Participants With Abnormal Laboratory Values, Up to 42 days|Number of Participants With Abnormal ECG QT Interval, Number of Participants With Abnormal ECG QT Interval, Up to 42 days|Number of Participants With Abnormal Vital signs, Number of Participants With Abnormal Vital signs, Up to 42 days|Number of Participants With Abnormal Physical examination, It's comprehensive system check by the doctor., Up to 42 days|VAS, Score of Visual Analogue Scale, which is a scale from 0-10, with higher scores indicate more severe., Up to 42 days","Cmax of Donepezil, Maximum observed concentration of drug substance in plasma., Blood samples collected over a 42-day period|Tmax of Donepezil, Time when the maximum concentration is acheived, Blood samples collected over a 42-day period|AUC0-t of Donepezil, Area under the blood concentration-time curve from zero to the collection time t of the last measurable concentration., Blood samples collected over a 42-day period|AUC0-∞ of Donepezil, Area under the concentration-time curve from time zero to infinity., Blood samples collected over a 42-day period|t1/2z of Donepezil, The time when the concentraion of the drug eliminated to half of the initial., Blood samples collected over a 42-day period|Vz/F, Apparent volume of distribution, Blood samples collected over a 42-day period|CLz/F, Apparent clearance, Blood samples collected over a 42-day period","Shanghai Synergy Pharmaceutical Sciences Co., Ltd.","PHASE1","2024-06-01","2025-03-31"
